n,kurtosis,loss
0,4.87947206539771,0.8559966848989413
1,-1.555226545659135,0.7541249316569156
2,-8.498926502363721,0.6802443874785292
3,-0.20943139409436773,0.6249097584343533
4,5.211042985790823,0.5767751859651755
5,10.782131242389076,0.5317466802230805
6,11.75914040766945,0.4944054022382843
7,7.827454709382357,0.4616708493008184
8,10.012136669192053,0.4340514833511784
9,7.669477871320043,0.40856448660420797
10,14.159455299416628,0.38431090380553357
11,7.983419513805142,0.360976712338538
12,16.487948081292732,0.33890057705150484
13,22.421221674799458,0.3186190533251415
14,10.941576031016389,0.29967218356189756
15,11.092340440274779,0.2813539742106875
16,21.05527782193902,0.2634961762495599
17,12.558505229447187,0.2460496800071796
18,11.639178823969845,0.2303350366322724
19,13.480284458298666,0.21517279988518767
20,14.65072008834432,0.2013658445519062
21,24.480978145384086,0.18801323259690705
22,24.77428697314178,0.1755291043898128
23,23.98008366862993,0.16459366718044657
24,23.66134633796029,0.1543101514864532
25,24.544283638963353,0.14450038284653943
26,23.940100106536605,0.13507731937030618
27,24.77399589288995,0.12607305803124907
28,24.19954768944989,0.11770959914958387
29,24.257996580182343,0.10972366521025581
30,24.18677642351521,0.10209257767894087
31,24.035832086930732,0.09518870265622828
32,23.903976044632852,0.08845107323595303
33,24.46923960006432,0.08235377839804292
34,24.544304686784486,0.07646618237058672
35,24.00299655239299,0.07072187185786777
36,22.719349305239657,0.06555013422542297
37,23.492590278247622,0.06081779777890571
38,23.66582953713446,0.05644545762511136
39,23.746342457503864,0.052123305908032734
40,23.79428306912943,0.047904305788768996
41,23.840190232742877,0.044011224411038524
42,23.97752358635012,0.04027474236783027
43,24.000346580248763,0.03692916218061128
44,24.227344400367347,0.033708498985597024
45,24.325608473446643,0.03070751943915552
46,23.806973921495874,0.027731261221359476
47,26.24164239392714,0.02503928729896032
48,23.958503063687054,0.02245577335463335
49,24.460970567339533,0.019966487491582804
50,23.913311810765176,0.01761421845941446
51,23.96797325514908,0.015328987514323647
52,24.16713576109786,0.013213918538110098
53,24.550685069906756,0.011201518608067767
54,23.865552828012543,0.009332614849986275
55,23.659816221412097,0.007582375909604992
56,24.523538753338983,0.006000888798877439
57,24.056377670089,0.004511992125470652
58,23.516418469486826,0.0031358368040238635
59,23.816092831208312,0.0019368538988196828
60,23.597945967131793,0.0009045369059386105
61,23.670844973534585,1.0097239316603127e-29
