,importance,feature,i,cumulative
21,0.056256655905379496,22,1,0.056256655905379496
42,0.051381297707165985,43,2,0.10763795361254548
43,0.04397379172301496,44,3,0.15161174533556043
18,0.03923918266761546,19,4,0.19085092800317588
36,0.038343660319313445,37,5,0.22919458832248932
20,0.03734757455190998,21,6,0.2665421628743993
28,0.03532926569970976,29,7,0.3018714285741091
26,0.0322834639268851,27,8,0.33415489250099417
30,0.03203989498359002,31,9,0.36619478748458417
19,0.030672227243413612,20,10,0.3968670147279978
60,0.028312598437604343,61,11,0.42517961316560215
29,0.02513997257121471,30,12,0.45031958573681685
13,0.024841564055385006,14,13,0.47516114979220186
27,0.02469519427102383,28,14,0.4998563440632257
34,0.024347163716165136,35,15,0.5242035077793908
54,0.024152461971247482,55,16,0.5483559697506383
10,0.02324664518774902,11,17,0.5716026149383873
46,0.02309919409872477,47,18,0.594701809037112
61,0.02306161401886793,62,19,0.61776342305598
38,0.021144402489574436,39,20,0.6389078255455544
62,0.02112951553192152,63,21,0.6600373410774759
53,0.020570566744829537,54,22,0.6806079078223054
5,0.020275126694084773,6,23,0.7008830345163902
35,0.01975500108274085,36,24,0.7206380355991311
37,0.019699766927553763,38,25,0.7403378025266849
45,0.019007535327727722,46,26,0.7593453378544126
44,0.018990777049152033,45,27,0.7783361149035647
2,0.01803271205579866,3,28,0.7963688269593634
33,0.017928582841042397,34,29,0.8142974098004058
58,0.017914158124951705,59,30,0.8322115679253574
51,0.017706658848862602,52,31,0.84991822677422
50,0.014525149620100668,51,32,0.8644433763943207
52,0.014496215056816935,53,33,0.8789395914511376
12,0.013818766360217349,13,34,0.892758357811355
25,0.012065874221898323,26,35,0.9048242320332534
22,0.011074536110141187,23,36,0.9158987681433945
41,0.010349446669633666,42,37,0.9262482148130282
3,0.009216721016399268,4,38,0.9354649358294275
11,0.008845821242853073,12,39,0.9443107570722805
9,0.00870893542069918,10,40,0.9530196924929797
4,0.008641150016193337,5,41,0.961660842509173
59,0.008182127418798271,60,42,0.9698429699279714
17,0.006752973676408687,18,43,0.9765959436043801
6,0.006408647004535014,7,44,0.9830045906089151
14,0.005857484990378692,15,45,0.9888620755992938
49,0.003012668391011541,50,46,0.9918747439903054
63,0.0023537412515881547,64,47,0.9942284852418936
1,0.001933056662847024,2,48,0.9961615419047406
57,0.0013637404761168686,58,49,0.9975252823808575
15,0.0007411473430795612,16,50,0.998266429723937
7,0.0006135877780129925,8,51,0.99888001750195
55,0.0006009394014546959,56,52,0.9994809569034047
23,0.0001567253558753995,24,53,0.9996376822592801
48,8.947794213838431e-05,49,54,0.9997271602014185
47,8.226321852524405e-05,48,55,0.9998094234199437
16,7.561638665312151e-05,17,56,0.9998850398065968
40,4.5408994974814497e-05,41,57,0.9999304488015717
24,2.6552100106833195e-05,25,58,0.9999570009016785
8,2.620184790854032e-05,9,59,0.9999832027495871
56,1.1088371282404918e-05,57,60,0.9999942911208695
32,5.708879130655464e-06,33,61,1.0000000000000002
39,0.0,40,62,1.0000000000000002
31,0.0,32,63,1.0000000000000002
0,0.0,1,64,1.0000000000000002
